id,pubId,Equation,reactionEnergy,surfaceComposition,ads_1,ads_2,ads_3,sites_1,sites_2,sites_3,MetalA,RatioA,MetalB,RatioB
398363.0,MamunHighT2019,CH3COOH(g) + 8* -> 2C* + 4H* + 2O*,11.714163605087831,Tl3Ga,C,H,O,hollow,hollow-tilt,hollow-tilt,Tl,3,Ga,1
374603.0,MamunHighT2019,CH3CH3(g) + 8* -> 2C* + 6H*,-4.537076891189486,FeHf,C,H,0,bridge,hollow,0,Fe,1,Hf,1
394610.0,MamunHighT2019,NCH(g) + 3* -> C* + H* + N*,2.6434535590993846,Hg3Hf,C,H,N,top,top-tilt,top,Hg,3,Hf,1
369531.0,MamunHighT2019,H2O(g) + 3* -> 2H* + O*,-4.574306554192049,AgHf,H,O,0,bridge,bridge,0,Ag,1,Hf,1
410939.0,MamunHighT2019,CO2(g) + 3* -> C* + 2O*,-8.062800523637634,Sc3Rh,C,O,0,hollow,hollow,0,Sc,3,Rh,1
421688.0,MamunHighT2019,NCH(g) + 3* -> C* + H* + N*,-2.6918231543935462,Tc3Mn,C,H,N,hollow,hollow,hollow,Tc,3,Mn,1
408500.0,MamunHighT2019,C2H2(g) + 4* -> 2C* + 2H*,-2.489694001807095,Y3Ga,C,H,0,hollow,hollow,0,Y,3,Ga,1
375066.0,MamunHighT2019,H2SO3(g) + 6* -> 2H* + 3O* + S*,-1.8630340633953888,CuZn,H,O,S,hollow,hollow,hollow,Cu,1,Zn,1
370824.0,MamunHighT2019,NH2(g) + 3* -> 2H* + N*,-2.770679567888976,CoTl,H,N,0,bridge,bridge,0,Co,1,Tl,1
414356.0,MamunHighT2019,CH2* + * -> CH* + H*,-0.7184726445048,Ir3Cu,H,CH,CH2,bridge,hollow,bridge,Ir,3,Cu,1
362183.0,MamunHighT2019,NO2(g) + 3* -> N* + 2O*,-6.22949721034297,Rh3Hf,N,O,0,hollow,hollow,0,Rh,3,Hf,1
391178.0,MamunHighT2019,CH3CH2OH(g) + 9* -> 2C* + 6H* + O*,1.393102579504216,Au3Ir,C,H,O,hollow,top,top,Au,3,Ir,1
422792.0,MamunHighT2019,H2SO4(g) + 7* -> 2H* + 4O* + S*,-11.162510349064178,Os3Ag,H,O,S,hollow,hollow,hollow,Os,3,Ag,1
396353.0,MamunHighT2019,CH3CH2OH(g) + 9* -> 2C* + 6H* + O*,6.657414997598266,Ga3Pt,C,H,O,hollow,top,hollow,Ga,3,Pt,1
